designation;reference;url_product;Fournisseur
SAUCISSE DE TOULOUSE AU SEL DE GUÉRANDE VPF;41574;/Promotions/Saucisse-de-Toulouse-au-sel-de-Guerande-VPF/p/000000000000041574;Sysco
MAYONNAISE;49237;/Promotions/Mayonnaise/p/000000000000049237;Sysco
BISCUIT CUILLÈRE SPÉCIAL RESTAURATION;16132;/Promotions/Biscuit-cuillere-special-restauration/p/000000000000016132;Sysco
OEUF MOYEN ALVÉOLÉ PLEIN AIR;82576;/Produits/Oeuf-moyen-alveole-plein-air/p/000000000000082576;Sysco
FÈVE D'EDAMAME;72148;/Promotions/Feve-d-edamame/p/000000000000072148;Sysco
BRISURE SPÉCULOOS;19304;/Les-produits/L-epicerie/Les-desserts-et-fruits/Les-decors--toppings-et-sauces-desserts/Les-decors-sucres/Brisure-speculoos/p/000000000000019304;Sysco
SAUCE SOJA SUCRÉE;18793;/Promotions/Sauce-soja-sucree/p/000000000000018793;Sysco
MÉLANGE DE FRUITS ROUGES;39438;/Promotions/Melange-de-fruits-rouges/p/000000000000039438;Sysco
PARMIGIANO REGGIANO AOP;81649;/Promotions/Parmigiano-Reggiano-AOP/p/000000000000081649;Sysco
TABOULÉ;42458;/Produits/Taboule/p/000000000000042458;Sysco
EPINARD EN BRANCHES CE2;39596;/Produits/Epinard-en-branches-CE2/p/000000000000039596;Sysco
FILET DE POULET VF;47539;/Promotions/Filet-de-poulet-VF/p/000000000000047539;Sysco
BÛCHE BLEUE;80034;/Promotions/Buche-bleue/p/000000000000080034;Sysco
QUEUE DE CREVETTE SAUVAGE DÉCORTIQUÉE DÉVEINÉE CRUE;35931;/Promotions/Queue-de-crevette-sauvage-decortiquee-deveinee-crue/p/000000000000035931;Sysco
CORNICHON;14536;/Produits/Cornichon/p/000000000000014536;Sysco
